title,binding,our_price,isbn13,competitor_price,used_price,new_price,rental_price,marketplace_price,pricing_action,adjusted_price,profit
A Light in the Attic,BOOK,51.77,9780061905858,1.36,,,,1.36,reduce_price,1.29,-50.48
The Dirty Little Secrets of Getting Your Dream Job,BOOK,33.34,9781942872764,3.94,3.94,,,,reduce_price,3.74,-29.6
"In a Dark, Dark Wood",BOOK,19.63,9781501112317,5.95,,,,5.95,reduce_price,5.65,-13.98
Reasons to Stay Alive,BOOK,26.41,9780143128724,1.64,,,,1.64,reduce_price,1.56,-24.85
When We Collided,BOOK,31.77,9781681192031,4.83,4.83,,,,reduce_price,4.59,-27.18
"We Love You, Charlie Freeman",BOOK,50.27,9781616206444,4.96,,,,4.96,reduce_price,4.71,-45.56
This One Summer,BOOK,19.49,9781596437746,1.19,,,,1.19,reduce_price,1.13,-18.36
The Art Forger,BOOK,40.76,9781616201326,4.99,,,,4.99,reduce_price,4.74,-36.02
On a Midnight Clear,BOOK,14.07,9781950054350,8.05,,,,8.05,reduce_price,7.65,-6.42
Danganronpa Volume 1,BOOK,51.99,9781616559281,3.99,,,,3.99,reduce_price,3.79,-48.2
Bossypants,BOOK,49.46,9780316056861,4.49,,,,4.49,reduce_price,4.27,-45.19
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",BOOK,28.09,9781616557904,1.32,,,,1.32,reduce_price,1.25,-26.84
The Wedding Dress,BOOK,24.12,9781595549631,1.18,,,,1.18,reduce_price,1.12,-23.0
The Wedding Dress,BOOK,24.12,9780399179617,0.96,,,,0.96,reduce_price,0.91,-23.21
The Stranger,BOOK,17.44,9780395423318,35.0,,,,35.0,increase_price,33.25,15.81
The Stranger,BOOK,17.44,9781499727951,5.02,,,,5.02,reduce_price,4.77,-12.67
The Regional Office Is Under Attack!,BOOK,51.36,9781594632419,4.65,4.65,,,,reduce_price,4.42,-46.94
The Regional Office Is Under Attack!,BOOK,51.36,9780399573217,2.99,,,,2.99,reduce_price,2.84,-48.52
The Murder of Roger Ackroyd (Hercule Poirot #4),BOOK,44.1,9780425200476,3.83,3.83,,,,reduce_price,3.64,-40.46
The Kite Runner,BOOK,41.82,9781594489600,6.95,,,,6.95,reduce_price,6.6,-35.22
The Art of War,BOOK,33.34,9780813319513,1.85,,,,1.85,reduce_price,1.76,-31.58
So You've Been Publicly Shamed,BOOK,12.23,9781594634017,1.04,,,,1.04,reduce_price,0.99,-11.24
So You've Been Publicly Shamed,BOOK,12.23,9781594487132,1.12,4.04,,,1.12,reduce_price,1.06,-11.17
Scarlett Epstein Hates It Here,BOOK,43.55,9781595148353,10.0,,,,10.0,reduce_price,9.5,-34.05
Redeeming Love,BOOK,20.47,9781590525135,1.26,7.52,,,1.26,reduce_price,1.2,-19.27
Redeeming Love,BOOK,20.47,9780525654346,5.58,,,,5.58,reduce_price,5.3,-15.17
Poems That Make Grown Women Cry,BOOK,14.19,9781476712772,4.7,4.7,,,,reduce_price,4.46,-9.73
Modern Romance,BOOK,28.26,9780143109259,1.97,1.97,,,4.99,reduce_price,1.87,-26.39
First Steps for New Christians (Print Edition),BOOK,29.0,9781598940633,1.0,,,,1.0,reduce_price,0.95,-28.05
Zealot: The Life and Times of Jesus of Nazareth,BOOK,24.7,9781400066926,11.76,,,,11.76,reduce_price,11.17,-13.53
Wild Swans,BOOK,14.36,9780743246989,2.5,2.5,,,4.49,reduce_price,2.38,-11.98
The Year of Magical Thinking,BOOK,43.04,9781400043149,2.2,,,,2.2,reduce_price,2.09,-40.95
The Testament of Mary,BOOK,52.67,9781451688382,7.39,,,,7.39,reduce_price,7.02,-45.65
The Star-Touched Queen,BOOK,46.02,9781250085474,5.47,5.47,,,,reduce_price,5.2,-40.82
The Marriage of Opposites,BOOK,28.08,9781628996777,5.38,5.38,,,,reduce_price,5.11,-22.97
The Immortal Life of Henrietta Lacks,BOOK,40.67,9781400052172,2.98,2.98,,,8.01,reduce_price,2.83,-37.84
The Dovekeepers,BOOK,48.78,9781620900017,2.35,,,,2.35,reduce_price,2.23,-46.55
Take Me with You,BOOK,45.21,9781416559511,4.0,,,,4.0,reduce_price,3.8,-41.41
Still Life with Bread Crumbs,BOOK,26.41,9781400065752,1.24,,,,1.24,reduce_price,1.18,-25.23
Steve Jobs,BOOK,39.5,9780761319597,6.52,6.52,,,,reduce_price,6.19,-33.31
Old School (Diary of a Wimpy Kid #10),BOOK,11.83,9781419741968,1.22,,,,1.22,reduce_price,1.16,-10.67
"Eat Fat, Get Thin",BOOK,54.07,9781473631168,1.22,,,,1.22,reduce_price,1.16,-52.91
Balloon Animals,BOOK,17.03,9780809245932,3.86,3.86,,,5.21,reduce_price,3.67,-13.36
All the Light We Cannot See,BOOK,29.87,9781476746586,2.98,2.98,,,4.99,reduce_price,2.83,-27.04
A People's History of the United States,BOOK,40.79,9781565848269,2.64,,,,2.64,reduce_price,2.51,-38.28
A People's History of the United States,BOOK,40.79,9780060528423,6.94,,,,6.94,reduce_price,6.59,-34.2
A People's History of the United States,BOOK,40.79,9780060937317,5.85,,,,5.85,reduce_price,5.56,-35.23
A Man Called Ove,BOOK,39.72,9781668010815,2.99,,,,2.99,reduce_price,2.84,-36.88
The Dinner Party,BOOK,56.54,9781250007872,6.9,,,,6.9,reduce_price,6.55,-49.99
"Love, Lies and Spies",BOOK,20.55,9781644681343,6.39,6.39,,,,reduce_price,6.07,-14.48
Eleanor & Park,BOOK,56.51,9783423626392,4.7,4.7,,,,reduce_price,4.46,-52.05
A Paris Apartment,BOOK,39.01,9780063252110,5.68,,,,5.68,reduce_price,5.4,-33.61
The Improbability of Love,BOOK,59.45,9781101872574,5.68,,,,5.68,reduce_price,5.4,-54.05
The Improbability of Love,BOOK,59.45,9781101874141,5.14,5.14,,,,reduce_price,4.88,-54.57
Daredevils,BOOK,16.34,9781101979891,4.7,4.7,,,5.49,reduce_price,4.46,-11.88
11/22/63,BOOK,48.48,9781451627299,9.93,13.23,,,9.93,reduce_price,9.43,-39.05
Watchmen,BOOK,58.05,9781852860240,8.31,8.31,,,,reduce_price,7.89,-50.16
The Shack,BOOK,28.03,9781609414115,0.96,,,,0.96,reduce_price,0.91,-27.12
The Art and Science of Low Carbohydrate Living,BOOK,52.98,9780983490708,8.49,,,,8.49,reduce_price,8.07,-44.91
The Art and Science of Low Carbohydrate Living,BOOK,52.98,9780983490715,1.04,,,,1.04,reduce_price,0.99,-51.99
When Breath Becomes Air,BOOK,39.36,9780812988406,2222.0,,,,2222.0,increase_price,2110.9,2071.54
The New Drawing on the Right Side of the Brain,BOOK,43.02,9781585421954,2.89,,,,2.89,reduce_price,2.75,-40.27
Roller Girl,BOOK,14.1,9780803740167,4.99,,,,4.99,reduce_price,4.74,-9.36
Rising Strong,BOOK,21.82,9780812985801,1.04,,,,1.04,reduce_price,0.99,-20.83
Man's Search for Meaning,BOOK,29.48,9780671023379,5.07,,,,5.07,reduce_price,4.82,-24.66
I'll Give You the Sun,BOOK,56.48,9780142425763,2.99,,,,2.99,reduce_price,2.84,-53.64
I'll Give You the Sun,BOOK,56.48,9786073812887,5.79,,,,5.79,reduce_price,5.5,-50.98
Howl and Other Poems,BOOK,40.45,9780872860179,0.96,,,,0.96,reduce_price,0.91,-39.54
Howl and Other Poems,BOOK,40.45,9780872863101,2.01,,,,2.01,reduce_price,1.91,-38.54
Wildlife of New York: A Five-Borough Coloring Book,BOOK,22.14,9780789212559,4.65,4.65,,,,reduce_price,4.42,-17.72
The Whale,BOOK,35.96,9780573701665,2.27,,,,2.27,reduce_price,2.16,-33.8
The Story of Art,BOOK,41.14,9781838668242,35.89,,,,35.89,reduce_price,34.1,-7.04
The Origin of Species,BOOK,10.01,9781784873622,8.69,,,,8.69,reduce_price,8.26,-1.75
The Good Girl,BOOK,49.03,9780778317760,4.99,,,,4.99,reduce_price,4.74,-44.29
The Bourne Identity (Jason Bourne #1),BOOK,42.78,9780553260113,4.99,,,,4.99,reduce_price,4.74,-38.04
Playing from the Heart,BOOK,32.38,9780763678920,1.04,,,,1.04,reduce_price,0.99,-31.39
Playing from the Heart,BOOK,32.38,9781558742536,2.65,,,,2.65,reduce_price,2.52,-29.86
Playing from the Heart,BOOK,32.38,9781338188455,1.86,1.86,,,,reduce_price,1.77,-30.61
Memoirs of a Geisha,BOOK,49.67,9781557046833,5.95,,,,5.95,reduce_price,5.65,-44.02
Life of Pi,BOOK,13.22,9780151008117,1.68,4.49,,,1.68,reduce_price,1.6,-11.62
John Adams,BOOK,57.43,9781416575887,4.99,7.7,,,4.99,reduce_price,4.74,-52.69
The Perks of Being a Wallflower,BOOK,55.02,9781451696196,4.99,,,,4.99,reduce_price,4.74,-50.28
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,BOOK,59.45,9780684853949,4.79,4.79,,,5.4,reduce_price,4.55,-54.9
The Makings of a Fatherless Child,BOOK,31.58,9781720556398,6.39,6.39,,,,reduce_price,6.07,-25.51
The Invention of Wings,BOOK,37.34,9780143121701,1.69,,,,1.69,reduce_price,1.61,-35.73
The Great Railway Bazaar,BOOK,30.54,9780618658947,1.04,,,,1.04,reduce_price,0.99,-29.55
The Great Railway Bazaar,BOOK,30.54,9780395207086,8.05,,,,8.05,reduce_price,7.65,-22.89
The God Delusion,BOOK,46.85,9780618918249,6.0,,,,6.0,reduce_price,5.7,-41.15
Tell the Wolves I'm Home,BOOK,50.96,9780812982855,4.52,4.52,,,,reduce_price,4.29,-46.67
Pride and Prejudice,BOOK,19.27,9781853260001,1.0,,,,1.0,reduce_price,0.95,-18.32
Mere Christianity,BOOK,48.51,9780060652920,2.09,5.94,,,2.09,reduce_price,1.99,-46.52
Mere Christianity,BOOK,48.51,9780802725752,8.69,,,,8.69,reduce_price,8.26,-40.25
How to Stop Worrying and Start Living,BOOK,46.49,9780671349004,5.0,,,,5.0,reduce_price,4.75,-41.74
"Girl, Interrupted",BOOK,42.14,9780679746041,4.3,4.3,,,4.99,reduce_price,4.08,-38.06
Deception Point,BOOK,40.32,9781982122355,10.73,,,,10.73,reduce_price,10.19,-30.13
Better Homes and Gardens New Cook Book,BOOK,39.61,9780696224034,10.36,10.36,,,,reduce_price,9.84,-29.77
A Year in Provence (Provence #1),BOOK,56.88,9780140296037,3.79,3.79,,,,reduce_price,3.6,-53.28
The Secret Garden,BOOK,15.08,9780486280240,3.95,3.95,,,,reduce_price,3.75,-11.33
The Little Paris Bookshop,BOOK,24.73,9780553418798,1.04,1.88,,,1.04,reduce_price,0.99,-23.74
The Hiding Place,BOOK,55.91,9780800794057,4.99,,,,4.99,reduce_price,4.74,-51.17
The Hiding Place,BOOK,55.91,9780553256697,0.94,,,,0.94,reduce_price,0.89,-55.02
The Firm,BOOK,45.56,9780440211457,2.99,,,,2.99,reduce_price,2.84,-42.72
The Firm,BOOK,45.56,9780440245926,1.04,6.55,,,1.04,reduce_price,0.99,-44.57
The Firm,BOOK,45.56,9780385470476,595.0,,,,595.0,increase_price,565.25,519.69
The Fault in Our Stars,BOOK,47.22,9780525478812,5.75,8.22,,,5.75,reduce_price,5.46,-41.76
The Expatriates,BOOK,44.58,9780770435721,1.04,,,,1.04,reduce_price,0.99,-43.59
The Darkest Corners,BOOK,11.33,9780553521450,4.83,4.83,,,,reduce_price,4.59,-6.74
The Crossover,BOOK,38.77,9780544107717,4.0,,,,4.0,reduce_price,3.8,-34.97
Tell the Wind and Fire,BOOK,45.51,9780440159636,6.02,,,,6.02,reduce_price,5.72,-39.79
Tell Me Three Things,BOOK,41.81,9780553535679,1.04,,,,1.04,reduce_price,0.99,-40.82
Harry Potter and the Deathly Hallows (Harry Potter #7),BOOK,23.32,9780739360385,4.51,,,,4.51,reduce_price,4.28,-19.04
Fool Me Once,BOOK,16.96,9780525955092,1.28,,,,1.28,reduce_price,1.22,-15.74
Dracula the Un-Dead,BOOK,35.63,9780451230515,5.38,,,,5.38,reduce_price,5.11,-30.52
Dracula the Un-Dead,BOOK,35.63,9780094754300,23.64,,,,23.64,reduce_price,22.46,-13.17
An Abundance of Katherines,BOOK,10.0,9780525476887,1.89,,,,1.89,reduce_price,1.8,-8.2
America's War for the Greater Middle East: A Military History,BOOK,51.22,9780553393958,1.12,,,,1.12,reduce_price,1.06,-50.16
A Feast for Crows (A Song of Ice and Fire #4),BOOK,17.21,9780553390575,5.11,,,,5.11,reduce_price,4.85,-12.36
The Pilgrim's Progress,BOOK,50.26,9781948481120,6.0,,,,6.0,reduce_price,5.7,-44.56
Shopaholic Ties the Knot (Shopaholic #3),BOOK,48.39,9780440241898,1.31,3.8,,,1.31,reduce_price,1.24,-47.15
Harry Potter and the Sorcerer's Stone (Harry Potter #1),BOOK,13.9,9780590353427,2.99,4.48,,,2.99,reduce_price,2.84,-11.06
Harry Potter and the Order of the Phoenix (Harry Potter #5),BOOK,31.63,9781408835005,5.59,5.59,,,,reduce_price,5.31,-26.32
Gone with the Wind,BOOK,32.49,9780865546219,9.97,,,,9.97,reduce_price,9.47,-23.02
"Where'd You Go, Bernadette",BOOK,18.13,9780316333603,1.38,,,,1.38,reduce_price,1.31,-16.82
We Are All Completely Beside Ourselves,BOOK,24.04,9780142180822,3.99,,,,3.99,reduce_price,3.79,-20.25
Two Boys Kissing,BOOK,32.74,9780307931900,5.23,5.23,,,,reduce_price,4.97,-27.77
The Stand,BOOK,57.86,9780307947307,5.39,6.29,,,5.39,reduce_price,5.12,-52.74
The Red Tent,BOOK,35.66,9780312169787,8.85,,,,8.85,reduce_price,8.41,-27.25
The Picture of Dorian Gray,BOOK,29.7,9780141439570,6.1,,,,6.1,reduce_price,5.79,-23.91
The Obsession,BOOK,45.43,9780515156386,5.1,,,,5.1,reduce_price,4.84,-40.59
The Nightingale,BOOK,26.26,9780312577223,3.28,,,,3.28,reduce_price,3.12,-23.14
The Nanny Diaries (Nanny #1),BOOK,52.53,9780312278588,3.8,3.8,,,4.49,reduce_price,3.61,-48.92
The Lover's Dictionary,BOOK,58.09,9780374193683,2.1,2.1,,,,reduce_price,1.99,-56.1
The Infinities,BOOK,27.41,9780307474391,3.96,3.96,,,,reduce_price,3.76,-23.65
The Husband's Secret,BOOK,52.51,9780399159343,8.49,,,,8.49,reduce_price,8.07,-44.44
The Guns of August,BOOK,14.54,9780345476098,4.99,,,,4.99,reduce_price,4.74,-9.8
The Guernsey Literary and Potato Peel Pie Society,BOOK,49.53,9781760528089,22.97,,,,22.97,reduce_price,21.82,-27.71
The Goldfinch,BOOK,43.58,9780316055444,4.0,,,,4.0,reduce_price,3.8,-39.78
The Girl with All the Gifts,BOOK,49.47,9780316262767,4.93,4.93,,,5.61,reduce_price,4.68,-44.79
"The End of Faith: Religion, Terror, and the Future of Reason",BOOK,22.13,9780393327656,4.88,4.88,,,6.49,reduce_price,4.64,-17.49
The Day the Crayons Came Home (Crayons),BOOK,26.33,9780593622360,8.61,8.61,,,,reduce_price,8.18,-18.15
The Complete Poems,BOOK,41.32,9781853264177,8.49,,,,8.49,reduce_price,8.07,-33.25
The Book Thief,BOOK,53.49,9780375831003,4.99,,,,4.99,reduce_price,4.74,-48.75
The Autobiography of Malcolm X,BOOK,23.43,9780345350688,4.0,7.71,,,4.0,reduce_price,3.8,-19.63
The Art of Fielding,BOOK,22.1,9780316126694,4.69,5.63,,,4.69,reduce_price,4.46,-17.64
Stiff: The Curious Lives of Human Cadavers,BOOK,36.74,9780393324822,4.0,,,,4.0,reduce_price,3.8,-32.94
Seven Days in the Art World,BOOK,52.33,9780393067224,5.4,,,,5.4,reduce_price,5.13,-47.2
Seven Brief Lessons on Physics,BOOK,30.6,9780399184413,1.67,,,,1.67,reduce_price,1.59,-29.01
Sarah's Key,BOOK,46.29,9780312370831,7.05,,,,7.05,reduce_price,6.7,-39.59
Rework,BOOK,44.88,9780307463746,1.72,,,,1.72,reduce_price,1.63,-43.25
Red: The True Story of Red Riding Hood,BOOK,28.54,9780385755863,0.96,,,,0.96,reduce_price,0.91,-27.63
Ready Player One,BOOK,19.07,9780307887443,1.82,1.82,,,5.4,reduce_price,1.73,-17.34
Packing for Mars: The Curious Science of Life in the Void,BOOK,56.68,9780393339918,1.22,,,,1.22,reduce_price,1.16,-55.52
Manuscript Found in Accra,BOOK,34.98,9780345805058,0.96,,,,0.96,reduce_price,0.91,-34.07
Lust & Wonder,BOOK,11.87,9780312342036,5.13,5.13,,,22.0,reduce_price,4.87,-7.0
Let's Pretend This Never Happened: A Mostly True Memoir,BOOK,45.11,9780425261019,1.04,,,,1.04,reduce_price,0.99,-44.12
Is Everyone Hanging Out Without Me? (And Other Concerns),BOOK,20.11,9780307886279,2.99,,,,2.99,reduce_price,2.84,-17.27
I've Got Your Number,BOOK,19.69,9780385342063,2.22,2.22,,,,reduce_price,2.11,-17.58
Dark Places,BOOK,23.9,9781101902882,4.99,,,,4.99,reduce_price,4.74,-19.16
Cosmos,BOOK,36.17,9780345539434,12.61,,,,12.61,reduce_price,11.98,-24.19
Civilization and Its Discontents,BOOK,59.95,9780486282534,3.26,3.26,,,6.49,reduce_price,3.1,-56.85
Brave Enough,BOOK,51.32,9781101946909,1.02,,,,1.02,reduce_price,0.97,-50.35
Boy Meets Boy,BOOK,21.12,9780375832994,5.11,,,,5.11,reduce_price,4.85,-16.27
Big Little Lies,BOOK,22.11,9781524754686,6.36,6.36,,,,reduce_price,6.04,-16.07
Between Shades of Gray,BOOK,20.79,9780142420591,1.69,,,,1.69,reduce_price,1.61,-19.18
Between Shades of Gray,BOOK,20.79,9780593404850,5.05,5.05,,,,reduce_price,4.8,-15.99
Are We Smart Enough to Know How Smart Animals Are?,BOOK,56.58,9780393353662,10.5,,,,10.5,reduce_price,9.97,-46.61
And Then There Were None,BOOK,35.01,9780573616396,20.0,,,,20.0,reduce_price,19.0,-16.01
A Visit from the Goon Squad,BOOK,14.08,9780307592835,5.31,,,,5.31,reduce_price,5.04,-9.04
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",BOOK,54.81,9781401285067,1.54,,,,1.54,reduce_price,1.46,-53.35
When I'm Gone,BOOK,51.96,9781695914407,9.05,9.05,,,,reduce_price,8.6,-43.36
Twenty Love Poems and a Song of Despair,BOOK,30.95,9780140186482,1.43,,,,1.43,reduce_price,1.36,-29.59
Travels with Charley: In Search of America,BOOK,57.82,9780140053203,0.96,,,,0.96,reduce_price,0.91,-56.91
Travels with Charley: In Search of America,BOOK,57.82,9780140187410,4.99,,,,4.99,reduce_price,4.74,-53.08
The Story of Hong Gildong,BOOK,43.19,9780143107699,4.46,5.27,,,4.46,reduce_price,4.24,-38.95
The Selfish Gene,BOOK,29.45,9780198788607,6.73,,,,6.73,reduce_price,6.39,-23.06
The Secret Healer,BOOK,34.56,9781503953864,4.74,4.74,,,,reduce_price,4.5,-30.06
The Little Prince,BOOK,45.42,9780156012195,0.94,,,,0.94,reduce_price,0.89,-44.53
The Communist Manifesto,BOOK,14.76,9780671678814,2.33,,,,2.33,reduce_price,2.21,-12.55
The Bhagavad Gita,BOOK,57.49,9781586380199,2.0,7.45,,,2.0,reduce_price,1.9,-55.59
Lost Among the Living,BOOK,27.7,9780451476197,4.43,4.43,,,6.38,reduce_price,4.21,-23.49
Lord of the Flies,BOOK,24.89,9780399529207,40.21,,,,40.21,increase_price,38.2,13.31
Kitchens of the Great Midwest,BOOK,57.2,9780525429142,14.5,,,,14.5,reduce_price,13.77,-43.43
Jane Eyre,BOOK,38.43,9780141441146,4.95,4.95,,,6.5,reduce_price,4.7,-33.73
Frankenstein,BOOK,38.0,9780486282114,1.63,1.63,,,5.4,reduce_price,1.55,-36.45
"Eat, Pray, Love",BOOK,51.32,9780143118428,6.49,,,,6.49,reduce_price,6.17,-45.15
Charlie and the Chocolate Factory (Charlie Bucket #1),BOOK,22.85,9780143106333,3.23,,,,3.23,reduce_price,3.07,-19.78
Bright Lines,BOOK,39.07,9780143123132,6.13,,,,6.13,reduce_price,5.82,-33.25
Bright Lines,BOOK,39.07,9781401952532,1.28,,,,1.28,reduce_price,1.22,-37.85
Bridget Jones's Diary (Bridget Jones #1),BOOK,29.82,9780140280098,6.49,,,,6.49,reduce_price,6.17,-23.65
Beyond Good and Evil,BOOK,43.38,9780140449235,3.32,,,,3.32,reduce_price,3.15,-40.23
"1,000 Places to See Before You Die",BOOK,26.08,9780761156864,1.57,,,,1.57,reduce_price,1.49,-24.59
